Date,Salesperson,Customer Name,Car Make,Car Model,Car Year,Sale Price,Commission Rate,Commission Earned
06-09-2022,Patricia Castillo,Rickey Price,Toyota,Corolla,2019,33100,0.062604593,2072.21
16-11-2022,Jacqueline Barr,Tammy Bright,Ford,F-150,2012,27150,0.087644258,2379.54
19-11-2022,Cindy Lee,Jonathan Garner,Toyota,Silverado,2018,24381,0.072714628,1772.86
02-01-2023,Andrea Combs,Lisa Humphrey,Nissan,Altima,2020,34331,0.136182545,4675.28
20-01-2023,Laura Lee,Matthew King,Chevrolet,F-150,2011,27052,0.13827327,3740.57
18-12-2022,Zachary Allen,Russell Davidson,Honda,Civic,2022,17629,0.108159864,1906.75
29-04-2023,Robert Collins,Samantha Simmons,Toyota,Altima,2017,46890,0.10434781,4892.87
03-07-2022,Haley Burns,Erica Hall,Toyota,Altima,2020,31042,0.09525771,2956.99
09-07-2022,Jason Hodge,Mr. Michael Harmon,Nissan,Civic,2021,19589,0.131807337,2581.97
22-03-2023,Stacy Richmond,Heather Norris,Honda,Silverado,2020,26909,0.117004115,3148.46
16-03-2023,Tyler Montgomery,Janet Cole,Toyota,Altima,2018,14737,0.075817577,1117.32
25-09-2022,Ronald Castillo,Jose Arroyo,Nissan,Silverado,2022,22944,0.124915533,2866.06
23-10-2022,Elizabeth Fields,Karen Kelley,Chevrolet,Altima,2020,12182,0.145123875,1767.9
09-06-2022,Mary Perry,Nathaniel Baker,Chevrolet,F-150,2011,14156,0.131487807,1861.34
21-06-2022,Jonathon Lawson,Casey Meyer,Nissan,Silverado,2014,33888,0.094233762,3193.39
26-10-2022,Marie Chapman,Monica Gray,Ford,Silverado,2014,44106,0.067442602,2974.62
22-12-2022,Mark Romero,Krista Fletcher,Nissan,Altima,2014,40734,0.075037564,3056.58
14-10-2022,Rebecca Williams,Cassandra Ayala,Toyota,Corolla,2014,17714,0.083874231,1485.75
09-02-2023,Michael Terry,Andrew Malone,Ford,Silverado,2011,38748,0.100595044,3897.86
27-11-2022,Shaun Watson,Angela Martin,Honda,F-150,2011,29379,0.088440424,2598.29
06-07-2022,Brandi Pineda,Mr. James Hill,Chevrolet,Silverado,2018,45657,0.094358445,4308.12
11-09-2022,Steven Bailey,Julian Johns,Nissan,Civic,2013,36025,0.079009397,2846.31
19-09-2022,Cheryl Carroll,Tina Perez,Ford,Civic,2018,38555,0.055717318,2148.18
06-01-2023,Kaitlyn Stanley,Drew Cantu,Nissan,Silverado,2012,43213,0.098891537,4273.4
20-08-2022,Patricia Thompson,John Jones,Nissan,Altima,2019,11928,0.081227811,968.89
29-03-2023,James Macias,Amy Johnson,Toyota,Civic,2015,42514,0.148339495,6306.51
14-12-2022,Jane Blake,Steven Stevens,Nissan,Silverado,2017,19296,0.139093521,2683.95
04-11-2022,Tiffany Hays,Richard Moore,Nissan,Civic,2017,15390,0.070796341,1089.56
02-01-2023,Vickie Long,James Thomas,Toyota,Altima,2018,29532,0.1387614,4097.9
23-07-2022,Scott Brown,Debra Freeman,Nissan,Altima,2021,11303,0.113273278,1280.33
05-01-2023,Maria Jensen,Donna Walker,Ford,Altima,2018,16734,0.089669198,1500.52
03-05-2022,Aaron Williams,Christopher Macdonald,Ford,Corolla,2020,10618,0.126843031,1346.82
05-11-2022,Elizabeth Riley,Seth Thomas,Chevrolet,Civic,2018,40234,0.081153175,3265.12
15-03-2023,Christine Terrell,Michael Owens,Toyota,F-150,2015,15040,0.124262121,1868.9
28-04-2023,Michael Bond,Mario Rivera,Ford,Corolla,2014,48510,0.133321137,6467.41
08-06-2022,Abigail Morales,Tony Wilson,Ford,Corolla,2013,18232,0.12605704,2298.27
07-08-2022,Michael Wilson MD,Julie Gonzalez,Toyota,F-150,2019,36554,0.073470815,2685.65
20-03-2023,Steven King,Cynthia Douglas,Nissan,Silverado,2022,43319,0.114084092,4942.01
08-01-2023,Robert Mendoza,Mr. Eric Powell,Ford,Altima,2010,47997,0.101196388,4857.12
23-06-2022,Bryan Williams,Maria Padilla,Toyota,Altima,2015,45930,0.121264838,5569.69
04-10-2022,Patrick Cisneros,Jordan Sanford,Chevrolet,Altima,2012,44633,0.054078941,2413.71
24-07-2022,Alexander Munoz,Bryan Burton,Ford,F-150,2010,14384,0.053949952,776.02
12-06-2022,Cynthia Carter,Paul Robertson,Ford,Corolla,2020,19366,0.062033965,1201.35
13-03-2023,Timothy Rhodes,Kimberly Cook,Toyota,Silverado,2021,25319,0.082756116,2095.3
22-07-2022,Willie Rice,Ethan Bauer,Ford,Civic,2012,36214,0.121878682,4413.71
21-01-2023,Matthew Wallace,Emma Taylor,Chevrolet,Silverado,2010,25317,0.135485691,3430.09
04-07-2022,Tracey French,Mr. David Mack MD,Honda,Silverado,2014,21343,0.145653542,3108.68
27-05-2022,Robert Li,Arthur Shepherd,Nissan,F-150,2017,33157,0.085035298,2819.52
01-10-2022,Ronald Perry,Patrick Taylor,Ford,Altima,2014,23876,0.091679679,2188.94
29-06-2022,Heidi Parks,Juan Coleman,Toyota,Altima,2017,21555,0.104039865,2242.58
30-05-2022,Mrs. Donna Mueller,Tonya Hart,Ford,Corolla,2022,20429,0.112564318,2299.58
07-03-2023,Maria Simpson,Michelle Scott,Toyota,Corolla,2022,25795,0.137500399,3546.82
19-08-2022,Jason Gonzales,Sharon Fuller,Nissan,Corolla,2020,28349,0.05760086,1632.93
18-08-2022,Jessica Cook,Amy Hawkins,Toyota,Corolla,2022,22985,0.104884417,2410.77
04-05-2022,Jeffrey Patel,Mark Lynch,Ford,F-150,2011,14379,0.097430842,1400.96
15-07-2022,Jeffrey White,Jeffrey Shaffer,Nissan,Altima,2016,23105,0.062654758,1447.64
03-05-2022,Teresa Franklin,Tammy Bailey,Honda,F-150,2021,39692,0.129746192,5149.89
24-10-2022,Joseph Meza,Danny Jackson,Nissan,Altima,2018,21042,0.093594318,1969.41
27-09-2022,Joshua Molina,Jessica Stevenson,Ford,Corolla,2022,21300,0.109362735,2329.43
01-12-2022,Cassidy Douglas,Jonathon Davis,Toyota,Silverado,2012,28125,0.068453099,1925.24
20-11-2022,Charles Franklin,John Bush,Chevrolet,Corolla,2016,48574,0.148291349,7203.1
13-10-2022,Robert Hester,Larry Pugh,Chevrolet,Corolla,2021,28352,0.121222839,3436.91
08-05-2022,Dr. Jordan Price,Robert Mills,Chevrolet,Corolla,2012,45360,0.095968675,4353.14
19-10-2022,Lauren Lambert,Susan Phillips,Ford,F-150,2013,28150,0.146300357,4118.36
30-06-2022,David Franklin,Craig Hicks,Toyota,F-150,2022,48712,0.096844086,4717.47
19-11-2022,Kimberly Sheppard,Melissa Jones,Toyota,Altima,2014,33453,0.050688749,1695.69
09-01-2023,Ariana Jones,Alison Thomas,Honda,Corolla,2011,48805,0.105585499,5153.1
19-07-2022,Michael Stewart,Michael Torres,Honda,Corolla,2021,13720,0.071075203,975.15
27-11-2022,David Adams,Jacqueline Pittman,Toyota,Silverado,2020,18842,0.081526277,1536.12
24-04-2023,Mr. Andrew Dickson,Harold Berry,Chevrolet,Civic,2019,18229,0.115410808,2103.82
25-01-2023,Jeremy Smith,Chad Kim,Nissan,Corolla,2010,10388,0.122594946,1273.52
30-12-2022,Amanda Riley,Shannon Martin,Toyota,F-150,2010,42747,0.097554283,4170.15
18-08-2022,Linda Ayala DDS,Joseph Wilcox,Chevrolet,Altima,2011,43489,0.050083041,2178.06
06-02-2023,Martin Ellison,Holly Lee,Nissan,Altima,2011,24086,0.118587393,2856.3
12-10-2022,Stuart Jackson,Krystal Johnson,Nissan,Civic,2016,13551,0.098866848,1339.74
07-04-2023,Sarah Monroe,William Garcia,Nissan,Civic,2022,16054,0.097667947,1567.96
05-12-2022,Debra Anderson,Brett Kim,Nissan,Silverado,2016,36940,0.111616659,4123.12
09-05-2022,Sherry Foster,Logan Johnston,Ford,Altima,2019,44492,0.080841135,3596.78
10-10-2022,Nathan Taylor,Brittany Hayes,Ford,Altima,2017,47950,0.064287316,3082.58
29-09-2022,Lisa Carter,Timothy Mcbride,Ford,Altima,2017,23950,0.086129637,2062.8
12-09-2022,Brian Mack,Barbara Garcia,Ford,F-150,2018,46336,0.110212213,5106.79
13-09-2022,Thomas Brown,Adrian Johnson,Nissan,Silverado,2012,16192,0.088209016,1428.28
18-02-2023,Christina Morrison,Anna Patton,Ford,Civic,2019,25903,0.117213781,3036.19
13-09-2022,Stephanie Jones,Cheryl Anthony,Ford,F-150,2021,44738,0.144108664,6447.13
19-03-2023,Joseph Santos,Anne Carr,Nissan,Corolla,2015,45089,0.127177228,5734.29
17-02-2023,Pamela Moore,Michael Hansen,Honda,Silverado,2016,33218,0.105672028,3510.21
26-01-2023,Lee Rivera,Erin Adams,Chevrolet,F-150,2017,14384,0.071684029,1031.1
15-07-2022,Regina Park,Stephen Webb,Nissan,Altima,2019,37245,0.097744558,3640.5
23-04-2023,Connor Martin,Frank Schwartz,Ford,F-150,2013,45097,0.084984528,3832.55
19-03-2023,Kyle Foster,Kristina Pierce,Toyota,F-150,2013,44257,0.148230507,6560.24
12-01-2023,Stuart Ramirez,Margaret Burke,Toyota,Altima,2010,45213,0.113915445,5150.46
12-06-2022,Kevin Ross,Juan Edwards,Nissan,Corolla,2022,19437,0.145242859,2823.09
23-01-2023,Rebecca Bryan,Vanessa Gallegos,Toyota,Corolla,2019,21890,0.058922135,1289.81
23-11-2022,Zachary Ross,Elaine Ortiz,Toyota,F-150,2010,35472,0.138814401,4924.02
28-11-2022,Nicole Murray,Theresa Perry,Chevrolet,F-150,2019,34748,0.061641006,2141.9
30-09-2022,Edward Burton,Jonathon Garcia,Toyota,Corolla,2019,40891,0.053430566,2184.83
01-12-2022,Zachary Stevens,Crystal Hurley,Chevrolet,Civic,2014,41093,0.071574616,2941.22
26-08-2022,Joshua Wagner,Jasmine Hunt,Honda,Silverado,2010,38899,0.137512463,5349.1
01-09-2022,Jacob Miller,Heather Mclaughlin,Honda,Corolla,2014,36567,0.095263984,3483.52
20-08-2022,Anthony Vasquez,Shelby Baker,Honda,F-150,2018,34819,0.055729473,1940.44
10-11-2022,Jody White,Erica Merritt,Ford,Altima,2013,22291,0.111500129,2485.45
06-08-2022,Amanda Ho,Michelle Ross,Chevrolet,F-150,2022,49939,0.127926844,6388.54
19-06-2022,Matthew Gonzalez,Dylan Myers,Ford,Silverado,2021,29753,0.056027948,1667
12-06-2022,Jason Gray,Jill Sanchez,Ford,Civic,2020,44501,0.078315318,3485.11
20-12-2022,Steven Clements,Zachary Wiggins,Nissan,Corolla,2017,33724,0.112299849,3787.2
11-01-2023,Leslie Barrett,Belinda Williams,Nissan,Civic,2021,31533,0.077679246,2449.46
19-04-2023,Sarah Robinson,Ashley Smith,Toyota,Altima,2021,35049,0.066628941,2335.28
13-04-2023,Jennifer Moore,Jessica Brown,Chevrolet,F-150,2020,44640,0.108803219,4856.98
02-11-2022,Michelle Miller,Michael Payne,Toyota,F-150,2010,13630,0.124819039,1701.28
29-05-2022,Philip Wolf,Rachel Ward,Ford,F-150,2019,28504,0.145222424,4139.42
03-03-2023,Mitchell Black,Tyler Fisher,Honda,Corolla,2011,43303,0.096835186,4193.25
18-05-2022,Nathan Bell,Kathy King,Nissan,F-150,2019,11869,0.081863306,971.64
02-10-2022,Lisa Middleton,Shannon Thomas,Honda,Silverado,2020,43465,0.07628592,3315.77
19-08-2022,William Cameron,Joanna Lamb,Toyota,Corolla,2012,31369,0.137397333,4310.02
26-08-2022,Rachel Kim,Monica Anderson,Ford,F-150,2016,42162,0.092738256,3910.03
20-11-2022,Diana Clark,Krista Cortez,Chevrolet,Silverado,2010,11820,0.14210112,1679.64
26-01-2023,Kevin Flynn,Elizabeth Huber,Nissan,Altima,2011,15262,0.147417201,2249.88
13-03-2023,Joshua Davis,Robert Mason,Nissan,Civic,2012,41889,0.073070421,3060.85
12-08-2022,Jacob Lopez,David Ramirez,Chevrolet,Silverado,2018,34173,0.11922465,4074.26
12-06-2022,Lauren Sanchez MD,Joshua Chapman,Ford,Corolla,2011,46997,0.128886036,6057.26
25-05-2022,Dennis Burke,Christine Ellis,Honda,Silverado,2015,15894,0.138908673,2207.81
14-01-2023,Joseph Crosby,Robert Thompson,Toyota,Silverado,2011,10731,0.05528363,593.25
16-06-2022,Donald Figueroa,Shelia Patel,Nissan,Altima,2013,34349,0.129484691,4447.67
14-06-2022,Lindsey Turner,Mark Kim,Ford,Silverado,2018,33482,0.111091273,3719.56
21-07-2022,Ellen Gonzalez,Sheryl Mason,Ford,Corolla,2019,35141,0.063213723,2221.39
27-02-2023,Kathy Kelly,Jessica Richards,Honda,Altima,2020,13410,0.120811592,1620.08
02-09-2022,Stephanie Galloway,Tina Garcia,Toyota,Altima,2014,45067,0.117767259,5307.42
09-10-2022,Sheila Romero,Grace Elliott,Ford,F-150,2018,26395,0.056630215,1494.75
23-03-2023,Thomas Jones,Dr. Martin Simmons PhD,Chevrolet,Civic,2022,20875,0.091517551,1910.43
28-09-2022,Kenneth Morris,John Zimmerman,Ford,Silverado,2011,33111,0.109636754,3630.18
13-10-2022,Janice Wolf,Deborah Lee,Nissan,Silverado,2012,15964,0.132191799,2110.31
26-03-2023,Caleb Harrington,Sara Torres,Ford,F-150,2021,35956,0.136831949,4919.93
20-09-2022,Jonathan Weeks,Mr. Johnny Bird Jr.,Nissan,Civic,2020,22486,0.054482428,1225.09
02-10-2022,Lori Mckee,Traci Brown,Chevrolet,Silverado,2018,30254,0.080856571,2446.23
24-03-2023,Shelia Scott,Angela Dunlap,Nissan,Civic,2018,33991,0.088852281,3020.18
03-09-2022,Craig Sanders,Luke Robinson,Ford,Corolla,2019,38613,0.109726096,4236.85
04-02-2023,William Tran,Stephanie Jones,Ford,F-150,2012,32338,0.092405046,2988.19
22-07-2022,Christopher Evans,James Hatfield,Chevrolet,Corolla,2016,46402,0.085014335,3944.84
06-05-2022,Jason Duffy,Monica Perez,Toyota,Altima,2019,13899,0.125301819,1741.57
07-04-2023,Larry Banks,Roy Taylor DVM,Honda,F-150,2016,41683,0.064926365,2706.33
12-08-2022,Terry Ward,Sheila Huynh,Honda,Civic,2022,49757,0.066384431,3303.09
29-09-2022,Zachary Woods,Thomas Cantu,Honda,F-150,2013,20208,0.123986117,2505.51
18-08-2022,Jim Patterson,Sara Patrick,Nissan,Corolla,2011,35218,0.088857862,3129.4
26-08-2022,Robin Johnson,Christopher Nunez,Chevrolet,Corolla,2019,30536,0.104715726,3197.6
18-09-2022,Cindy Rodriguez MD,Alyssa Smith,Nissan,Civic,2017,42363,0.066103323,2800.34
06-12-2022,Karen Coffey,Kevin Miller,Toyota,Silverado,2015,13527,0.070974765,960.08
02-01-2023,Kayla Hardy,Caleb Bentley,Chevrolet,Altima,2011,29300,0.05043435,1477.73
05-11-2022,Margaret Wilson,Bryan Becker,Ford,Civic,2015,27807,0.091603518,2547.22
20-04-2023,David Aguirre,Austin Henry,Honda,F-150,2020,20202,0.087579933,1769.29
09-08-2022,Amy Hernandez,Caleb Stewart,Chevrolet,Civic,2014,30799,0.055640016,1713.66
28-04-2023,Christopher Jenkins,Andrew Adams,Honda,Corolla,2021,12931,0.053481841,691.57
24-11-2022,Matthew Graham,Rebekah Holt,Toyota,Corolla,2010,45591,0.08206333,3741.35
27-10-2022,Amanda Davis,Michael Lane,Nissan,Altima,2019,41479,0.067910148,2816.85
06-02-2023,Chris Ruiz,Michelle Hunter,Ford,Silverado,2020,27402,0.140788807,3857.89
27-04-2023,Pamela Keller,Christina Daniels,Toyota,Civic,2010,36650,0.142428779,5220.01
13-01-2023,Tina Watson MD,Ashley Dixon,Ford,Corolla,2020,15391,0.084650568,1302.86
06-10-2022,Kelly Morgan,Paula Moore,Toyota,Corolla,2021,35318,0.141903391,5011.74
01-05-2022,Stephanie Barber,Wesley Snow,Nissan,Silverado,2017,18213,0.065762223,1197.73
02-08-2022,Jennifer Gomez,Brandon Waller,Ford,Civic,2010,24387,0.0838203,2044.13
26-08-2022,Carl Tran,Krista Sanders,Honda,Civic,2012,42079,0.108388692,4560.89
30-01-2023,Amanda Rosales,Tiffany Dunn,Toyota,F-150,2011,44883,0.070130946,3147.69
12-09-2022,Hailey Short,Matthew Crane,Chevrolet,Altima,2010,13697,0.053384865,731.21
09-01-2023,Cindy Mcmillan,Lisa Rosales,Toyota,Altima,2019,31976,0.082715142,2644.9
08-11-2022,Tiffany Fisher,Jessica Hancock,Chevrolet,Corolla,2016,40647,0.068464595,2782.88
19-09-2022,Melinda Stevens,Stephanie Bowman,Chevrolet,Altima,2013,27330,0.065624319,1793.51
19-10-2022,Maria Nielsen,Mary Hayes,Nissan,F-150,2012,41632,0.051645948,2150.12
09-07-2022,William Hart,Melissa Johns,Nissan,F-150,2021,16443,0.131217339,2157.61
08-11-2022,Craig Brown,Christine Olson,Nissan,Corolla,2010,42176,0.090121686,3800.97
30-01-2023,Thomas Case,Andrew Holmes,Honda,Altima,2012,42396,0.124232965,5266.98
22-10-2022,Stephanie Smith,Justin Lozano,Toyota,Silverado,2018,38643,0.101683312,3929.35
30-08-2022,Angela Garcia,Courtney Zuniga,Toyota,Corolla,2014,28200,0.059892031,1688.96
23-02-2023,Stephanie Fisher,Katherine Arroyo,Honda,F-150,2020,20478,0.126595745,2592.43
14-06-2022,Tonya Short,Philip Morris,Nissan,Altima,2019,23824,0.088933944,2118.76
16-04-2023,Mark Smith,Jeremy Nichols,Honda,F-150,2012,41658,0.098565873,4106.06
13-06-2022,John Rodriguez,Jason Taylor,Toyota,Altima,2018,15421,0.092040097,1419.35
19-03-2023,David Morgan,Luis Hall,Honda,Silverado,2012,19574,0.099557331,1948.74
22-06-2022,Joseph Crane,Michael Schultz,Ford,Altima,2012,22031,0.061820803,1361.97
14-02-2023,Vincent Webster,Grant Turner,Honda,Civic,2011,43919,0.059233953,2601.5
14-06-2022,Christy Davies MD,Erika Farrell,Honda,F-150,2019,32880,0.144113736,4738.46
05-08-2022,Matthew Jenkins,Alyssa Smith,Ford,Silverado,2021,10429,0.086556174,902.69
22-10-2022,Regina Fleming,Marc Gonzalez,Honda,Silverado,2019,17542,0.128724986,2258.09
14-03-2023,Amber Hernandez,Jay Calhoun,Nissan,F-150,2013,31472,0.142690407,4490.75
30-11-2022,Chris Morrison,Michael Johnson,Nissan,Corolla,2016,19976,0.115545368,2308.13
04-07-2022,Audrey Kirk,Sarah Gibson,Nissan,Corolla,2019,34018,0.145273091,4941.9
15-07-2022,Christian Taylor,Melissa Mooney,Honda,Silverado,2015,18778,0.07603595,1427.8
07-02-2023,David Parker,Jacob Dickson,Honda,Civic,2020,46032,0.099818754,4594.86
19-03-2023,Alicia Schroeder,Casey Gaines,Ford,Civic,2014,45521,0.068782293,3131.04
12-12-2022,Felicia Rich,Benjamin Bright,Nissan,Corolla,2018,18717,0.089271503,1670.89
01-05-2023,Brittany Herrera,Jo Bennett,Chevrolet,Corolla,2014,18736,0.078463011,1470.08
04-12-2022,Melinda Leonard,Jason Leonard,Honda,Silverado,2021,39490,0.111156479,4389.57
24-12-2022,Michael Tapia,Stephen Olson,Toyota,F-150,2016,29498,0.073077563,2155.64
16-01-2023,Karen Mendoza,Julie Lewis,Nissan,Silverado,2020,47219,0.095960865,4531.18
30-01-2023,Renee Vance,Lisa Holloway,Chevrolet,F-150,2016,45100,0.128059782,5775.5
08-03-2023,Rebecca Williamson,Marilyn Valdez,Chevrolet,Corolla,2011,48755,0.114151428,5565.45
24-01-2023,Jose Kelly,Timothy Hunter,Ford,F-150,2015,41863,0.12219697,5115.53
30-07-2022,Amy Johnson,Deborah Robinson,Ford,Altima,2015,19183,0.127161607,2439.34
27-02-2023,Victoria Kim,Stephanie Davis,Honda,Civic,2019,46303,0.078829767,3650.05
06-05-2022,Edward Dougherty,Sherry Terry,Ford,Corolla,2020,45321,0.127692446,5787.15
01-09-2022,Rickey Tran,Mary Rogers,Nissan,Altima,2010,22113,0.07173745,1586.33
27-01-2023,Kyle Caldwell,Jacqueline Anderson,Ford,F-150,2013,33901,0.112826036,3824.92
13-05-2022,Sarah Johnson,Robin Gay,Ford,Silverado,2013,46053,0.140769818,6482.87
11-09-2022,Laura Bridges,William Robbins,Toyota,Civic,2019,22170,0.116084205,2573.59
13-09-2022,Sophia Moreno,Crystal Norris,Chevrolet,Altima,2016,33534,0.100419121,3367.45
20-01-2023,Joshua Graves,Christina Long,Toyota,Civic,2017,29607,0.088374427,2616.5
02-06-2022,Kimberly Henderson,Amy Jackson,Ford,Civic,2014,47209,0.062781519,2963.85
07-10-2022,Rachel Booth,Christian Ortega,Honda,Civic,2010,18074,0.106914546,1932.37
17-06-2022,Jared Berry,Kelly Curry,Ford,Silverado,2017,31220,0.059657963,1862.52
23-07-2022,Joseph Allen,Stephanie Grant,Nissan,Altima,2021,49877,0.05081818,2534.66
11-03-2023,Marc Daniel,Jonathan Robbins,Chevrolet,Corolla,2019,28858,0.087755924,2532.46
06-04-2023,Justin Mitchell,Rachel Smith,Nissan,Corolla,2011,14327,0.081209985,1163.5
28-05-2022,Gregory Lutz,Jason Mcpherson,Chevrolet,Altima,2016,38031,0.149225157,5675.18
31-05-2022,Rebecca Scott,Michelle Stone,Nissan,Silverado,2013,38692,0.072503982,2805.32
28-07-2022,Theresa Nguyen,Diana Francis,Ford,Corolla,2019,41606,0.129182518,5374.77
20-08-2022,Mikayla Haynes,Samantha White,Ford,Altima,2020,26205,0.148044254,3879.5
29-03-2023,Steven Collins,Tracey Andrews,Toyota,Civic,2012,22821,0.07895416,1801.81
07-04-2023,Alexandra Harris,Christian Jones,Ford,Silverado,2013,31661,0.080643958,2553.27
12-06-2022,Amanda Garcia,Angela Thomas,Honda,Altima,2020,30418,0.14950223,4547.56
26-06-2022,Wayne Cook,Ryan Arnold,Nissan,F-150,2022,24797,0.137756535,3415.95
06-02-2023,Michelle Russell,Megan Myers,Ford,Silverado,2010,25608,0.126285998,3233.93
14-02-2023,Allison Cannon,Lisa Alvarez,Ford,Corolla,2020,45212,0.124064187,5609.19
24-01-2023,Austin Reynolds,Joseph Cook,Nissan,Altima,2011,23307,0.074840116,1744.3
19-06-2022,Cynthia Evans,Daniel Williams,Ford,Corolla,2013,25844,0.055972706,1446.56
26-07-2022,Jessica Small,Dennis Weiss,Toyota,Civic,2016,31947,0.113557345,3627.82
14-05-2022,Leslie Sanders,Deanna Newman,Toyota,F-150,2017,26826,0.056394134,1512.83
08-12-2022,Angela Anderson,Anna Evans,Honda,Silverado,2018,19833,0.080196462,1590.54
04-07-2022,Brian Bishop,Rhonda Schmidt,Nissan,F-150,2019,41820,0.07966537,3331.61
23-12-2022,James Moreno,Barbara Warren,Honda,Corolla,2017,18161,0.135709481,2464.62
24-04-2023,Jennifer Crawford,Jason Williams,Honda,Civic,2013,45652,0.10347856,4724
24-03-2023,Bradley Davis,Debra Fletcher,Nissan,Silverado,2014,29795,0.117931926,3513.78
16-10-2022,Amanda Ford,Sarah Lam,Toyota,Civic,2022,37932,0.086121808,3266.77
14-08-2022,Carmen Ritter,Tracey Walls,Ford,Corolla,2015,20727,0.082872813,1717.7
08-06-2022,Christopher Parsons,Scott Beltran,Ford,Civic,2019,34559,0.114286721,3949.63
24-07-2022,Nicholas Richards,Joseph Huff,Chevrolet,Silverado,2018,11459,0.080528561,922.78
02-04-2023,Megan Frederick,Steven Schneider,Honda,Corolla,2017,39818,0.058919303,2346.05
20-08-2022,Sherri Rangel,Carolyn Reeves,Nissan,Corolla,2010,27133,0.061846003,1678.07
26-12-2022,George Archer,Dr. Lori May MD,Ford,Civic,2017,17010,0.076759224,1305.67
29-08-2022,Devin Vasquez,Thomas Long III,Honda,Altima,2010,35635,0.133891134,4771.21
07-08-2022,Michelle Goodman,Taylor Phillips,Ford,Altima,2022,34566,0.123452065,4267.24
22-09-2022,Christopher Riley,Robin Perez,Honda,Corolla,2022,48351,0.099316814,4802.07
27-04-2023,Sarah Russell,Sherry Brooks,Honda,Silverado,2010,25490,0.053162414,1355.11
05-01-2023,Timothy Andrews,Sarah Robinson,Ford,Altima,2011,19525,0.056836186,1109.73
14-10-2022,Mark Jenkins,Michelle Tate,Nissan,Altima,2011,15433,0.081175431,1252.78
08-09-2022,Deborah Humphrey,Annette James,Ford,Corolla,2018,34285,0.069593033,2386
13-05-2022,Cheryl Davis,Lauren Byrd,Ford,Corolla,2017,39880,0.075195305,2998.79
18-11-2022,Bobby Sullivan,Dr. Wesley Wise,Nissan,Corolla,2021,22871,0.058440041,1336.58
21-12-2022,Dawn Turner,Paul Mclaughlin,Ford,Silverado,2019,16631,0.113931299,1894.79
13-09-2022,Thomas Welch,Theresa Anderson,Nissan,F-150,2021,46092,0.062932884,2900.7
09-07-2022,Diana Todd,Thomas White,Nissan,F-150,2022,34778,0.124526325,4330.78
24-02-2023,Paul Flores,Julie Lowe,Nissan,F-150,2013,49436,0.070227879,3471.79
13-11-2022,Rhonda Cannon,Lisa Wilson,Honda,Altima,2011,30348,0.05072425,1539.38
07-04-2023,Eric Johnson,Miss Tina Bishop DVM,Honda,Civic,2016,16412,0.125598938,2061.33
28-07-2022,Timothy Wyatt,Kimberly Dixon,Honda,Civic,2021,19966,0.066345132,1324.65
29-04-2023,Brandi Sloan,Angela Mccann,Nissan,F-150,2015,14960,0.137746739,2060.69
01-06-2022,Joseph Perez,Tiffany Pruitt,Nissan,Civic,2020,38219,0.109529737,4186.12
27-07-2022,Steven Duran,Laura Ramirez,Ford,Silverado,2012,49621,0.104364267,5178.66
25-01-2023,Jenna Powers,Mark Beltran,Chevrolet,Silverado,2013,26965,0.075414616,2033.56
08-06-2022,Ellen Freeman,David Roy,Chevrolet,Altima,2015,12128,0.059203196,718.02
20-05-2022,Austin Matthews,Edward Erickson,Toyota,Corolla,2013,38892,0.112339094,4369.09
03-09-2022,Jamie Pope,Kristy Wilson,Toyota,Civic,2013,39760,0.140536166,5587.72
08-03-2023,Douglas Johnson,Kathryn Myers,Chevrolet,Altima,2021,17096,0.122034614,2086.3
27-12-2022,Stephanie Baldwin,Julie Avery,Chevrolet,Corolla,2020,12805,0.075713054,969.51
26-04-2023,Brittany Mooney,Meghan Cooley,Chevrolet,F-150,2022,13337,0.070709323,943.05
19-04-2023,Andrea Nguyen,Brian Nicholson,Honda,Corolla,2016,16666,0.100082076,1667.97
04-09-2022,Miguel Reyes,Derrick Hernandez,Chevrolet,Corolla,2021,30719,0.089019853,2734.6
08-09-2022,Cheryl Gonzalez,Regina Williams,Toyota,Altima,2022,33162,0.084473741,2801.32
05-03-2023,Lynn Lopez,Victor Atkins,Toyota,Civic,2018,24254,0.071781546,1740.99
01-02-2023,William Wright,Brandon Strickland,Honda,Altima,2013,46421,0.129396629,6006.72
03-06-2022,Ryan Estrada,Miss Holly Phillips,Ford,Corolla,2013,40917,0.100602275,4116.34
11-10-2022,Brian Kim,Craig Klein,Toyota,F-150,2010,16227,0.12453601,2020.85
08-06-2022,Austin Arroyo,Kayla Young,Honda,Civic,2022,15939,0.130896307,2086.36
10-08-2022,Latoya Taylor,Earl Brewer,Chevrolet,Civic,2010,29379,0.050842226,1493.69
18-10-2022,Jeanette Leonard,Shari Brown,Ford,Altima,2015,40714,0.096809826,3941.52
29-09-2022,Meghan Rodriguez,Patrick Santiago,Toyota,Corolla,2014,15844,0.146573992,2322.32
21-09-2022,Carol Smith,Kelly Thomas,Nissan,Silverado,2013,25226,0.117215991,2956.89
30-03-2023,Ashley Mcconnell,Renee Sharp,Honda,Corolla,2013,24577,0.132106688,3246.79
17-02-2023,Kimberly Pena,Tracy Zavala,Toyota,Silverado,2016,34225,0.134712255,4610.53
03-01-2023,Richard Ortiz,Susan Flynn,Ford,Civic,2010,38659,0.114633062,4431.6
10-05-2022,John Leonard,Valerie Blackwell,Toyota,F-150,2021,31180,0.11401866,3555.1
